question,answer
What is in a Bellini?,"Bellini contains: 6 oz Champagne, 1 oz Peach schnapps."
What ingredients are in a Bellini?,"The ingredients for Bellini are: 6 oz Champagne, 1 oz Peach schnapps."
List the ingredients of a Bellini.,"Bellini uses: 6 oz Champagne, 1 oz Peach schnapps."
What's in the Bellini cocktail?,"The Bellini cocktail contains: 6 oz Champagne, 1 oz Peach schnapps."
Does a Bellini contain Champagne?,Yes Bellini includes Champagne.
How to prepare a Bellini?,"Pour peach pure into chilled flute, add sparkling wine. Stir gently."
How do you make a Bellini?,"Pour peach pure into chilled flute, add sparkling wine. Stir gently."
How is a Bellini made?,"Pour peach pure into chilled flute, add sparkling wine. Stir gently."
What are the steps to make a Bellini?,"Pour peach pure into chilled flute, add sparkling wine. Stir gently."
How do I serve a Bellini?,Serve a Bellini in a Champagne Flute.
Is a Bellini alcoholic?,Bellini is listed as: Alcoholic.
Does Bellini contain alcohol?,Bellini is listed as: Alcoholic.
What category is a Bellini?,Bellini is in the category: Ordinary Drink.
"Is Bellini a cocktail, shot, or something else?",Bellini is in the category: Ordinary Drink.
What glass is a Bellini served in?,Bellini is served in a Champagne Flute.
What glassware do I need for a Bellini?,You need a Champagne Flute for a Bellini.
Tell me about the Bellini cocktail.,"question Generate a cocktail with Champagne Peach schnapps answer Pour peach pure into chilled flute, add sparkling wine. Stir gently."
What is in a Cosmopolitan?,"Cosmopolitan contains: 1 1/4 oz Vodka, 1/4 oz Lime juice, 1/4 oz Cointreau, 1/4 cup Cranberry juice."
What ingredients are in a Cosmopolitan?,"The ingredients for Cosmopolitan are: 1 1/4 oz Vodka, 1/4 oz Lime juice, 1/4 oz Cointreau, 1/4 cup Cranberry juice."
List the ingredients of a Cosmopolitan.,"Cosmopolitan uses: 1 1/4 oz Vodka, 1/4 oz Lime juice, 1/4 oz Cointreau, 1/4 cup Cranberry juice."
What's in the Cosmopolitan cocktail?,"The Cosmopolitan cocktail contains: 1 1/4 oz Vodka, 1/4 oz Lime juice, 1/4 oz Cointreau, 1/4 cup Cranberry juice."
Does a Cosmopolitan contain Vodka?,Yes Cosmopolitan includes Vodka.
